Date,Open,Close,High,Low,Volume
4-Jan-16,102.610001,105.349998,105.370003,102,67649400
5-Jan-16,105.75,102.709999,105.849998,102.410004,55791000
6-Jan-16,100.559998,100.699997,102.370003,99.870003,68457400
7-Jan-16,98.68,96.449997,100.129997,96.43,81094400
8-Jan-16,98.550003,96.959999,99.110001,96.760002,70798000
11-Jan-16,98.970001,98.529999,99.059998,97.339996,49739400
12-Jan-16,100.550003,99.959999,100.690002,98.839996,49154200
13-Jan-16,100.32,97.389999,101.190002,97.300003,62439600
14-Jan-16,97.959999,99.519997,100.480003,95.739998,63170100
15-Jan-16,96.199997,97.129997,97.709999,95.360001,79833900
19-Jan-16,98.410004,96.660004,98.650002,95.5,53087700
20-Jan-16,95.099998,96.790001,98.190002,93.419998,72334400
21-Jan-16,97.059998,96.300003,97.879997,94.940002,52161500
22-Jan-16,98.629997,101.419998,101.459999,98.370003,65800500
25-Jan-16,101.519997,99.440002,101.529999,99.209999,51794500
26-Jan-16,99.93,99.989998,100.879997,98.07,75077000
27-Jan-16,96.040001,93.419998,96.629997,93.339996,133369700
28-Jan-16,93.790001,94.089996,94.519997,92.389999,55678800
29-Jan-16,94.790001,97.339996,97.339996,94.349998,64416500
1-Feb-16,96.470001,96.43,96.709999,95.400002,40943500
2-Feb-16,95.419998,94.480003,96.040001,94.279999,37357200
3-Feb-16,95,96.349998,96.839996,94.080002,45964300
4-Feb-16,95.860001,96.599998,97.330002,95.190002,46471700
5-Feb-16,96.519997,94.019997,96.919998,93.690002,46418100
8-Feb-16,93.129997,95.010002,95.699997,93.040001,54021400
9-Feb-16,94.290001,94.989998,95.940002,93.93,44331200
10-Feb-16,95.919998,94.269997,96.349998,94.099998,42343600
11-Feb-16,93.790001,93.699997,94.720001,92.589996,50074700
12-Feb-16,94.190002,93.989998,94.5,93.010002,40351400
16-Feb-16,95.019997,96.639999,96.849998,94.610001,49057900
17-Feb-16,96.669998,98.120003,98.209999,96.150002,44863200
18-Feb-16,98.839996,96.260002,98.889999,96.089996,39021000
19-Feb-16,96,96.040001,96.760002,95.800003,35374200
22-Feb-16,96.309998,96.879997,96.900002,95.919998,34280800
23-Feb-16,96.400002,94.690002,96.5,94.550003,31942600
24-Feb-16,93.980003,96.099998,96.379997,93.32,36255700
25-Feb-16,96.050003,96.760002,96.760002,95.25,27582700
26-Feb-16,97.199997,96.910004,98.019997,96.580002,28991100
29-Feb-16,96.860001,96.690002,98.230003,96.650002,35216300
1-Mar-16,97.650002,100.529999,100.769997,97.419998,50407100
2-Mar-16,100.510002,100.75,100.889999,99.639999,33169600
3-Mar-16,100.580002,101.5,101.709999,100.449997,36955700
4-Mar-16,102.370003,103.010002,103.75,101.370003,46055100
7-Mar-16,102.389999,101.870003,102.830002,100.959999,35828900
8-Mar-16,100.779999,101.029999,101.760002,100.400002,31561900
9-Mar-16,101.309998,101.120003,101.580002,100.269997,27201700
10-Mar-16,101.410004,101.169998,102.239998,100.150002,33513600
11-Mar-16,102.239998,102.260002,102.279999,101.5,27408200
14-Mar-16,101.910004,102.519997,102.910004,101.779999,25076100
15-Mar-16,103.959999,104.580002,105.18,103.849998,40067700
16-Mar-16,104.610001,105.970001,106.309998,104.589996,38303500
17-Mar-16,105.519997,105.800003,106.470001,104.959999,34420700
18-Mar-16,106.339996,105.919998,106.5,105.190002,44205200
21-Mar-16,105.93,105.910004,107.650002,105.139999,35502700
22-Mar-16,105.25,106.720001,107.290001,105.209999,32444400
23-Mar-16,106.480003,106.129997,107.07,105.900002,25703500
24-Mar-16,105.470001,105.669998,106.25,104.889999,26133000
28-Mar-16,106,105.190002,106.190002,105.059998,19411400
29-Mar-16,104.889999,107.68,107.790001,104.879997,31190100
30-Mar-16,108.650002,109.559998,110.419998,108.599998,45601100
31-Mar-16,109.720001,108.989998,109.900002,108.879997,25888400
1-Apr-16,108.779999,109.989998,110,108.199997,25874000
4-Apr-16,110.419998,111.120003,112.190002,110.269997,37356200
5-Apr-16,109.510002,109.809998,110.730003,109.419998,26578700
6-Apr-16,110.230003,110.959999,110.980003,109.199997,26404100
7-Apr-16,109.949997,108.540001,110.419998,108.120003,31801900
8-Apr-16,108.910004,108.660004,109.769997,108.169998,23581700
11-Apr-16,108.970001,109.019997,110.610001,108.830002,29407500
12-Apr-16,109.339996,110.440002,110.5,108.660004,27232300
13-Apr-16,110.800003,112.040001,112.339996,110.800003,33257300
14-Apr-16,111.620003,112.099998,112.389999,111.330002,25473900
15-Apr-16,112.110001,109.849998,112.300003,109.730003,46939000
18-Apr-16,108.889999,107.480003,108.949997,106.940002,60821500
19-Apr-16,107.879997,106.910004,108,106.230003,32384900
20-Apr-16,106.639999,107.129997,108.089996,106.059998,30611000
21-Apr-16,106.93,105.970001,106.93,105.519997,31552500
22-Apr-16,105.010002,105.68,106.480003,104.620003,33683100
25-Apr-16,105,105.080002,105.650002,104.510002,28031600
26-Apr-16,103.910004,104.349998,105.300003,103.910004,56016200
27-Apr-16,96,97.82,98.709999,95.68,114602100
28-Apr-16,97.610001,94.830002,97.879997,94.25,82242700
29-Apr-16,93.989998,93.739998,94.720001,92.510002,68531500
2-May-16,93.970001,93.639999,94.080002,92.400002,48160100
3-May-16,94.199997,95.18,95.739998,93.68,56831300
4-May-16,95.199997,94.190002,95.900002,93.82,41025500
5-May-16,94,93.239998,94.07,92.68,35890500
